"ID","Code Site","Nom du Site","LONGITUDE","LATITUDE","Type","Typologie","Surface du Site (M²)","Hauteur (M)","T. Salle Equip.","Nbre Secteurs","Type Gardiennage","Commune","Etat","D. Mise en Air","Propriétaire"
"819","10665","LAHGUIA","3.689530","36.477170","Terminal","Pylône","","30","Shelter","2","Non Gardé","DJEBAHIA","On AIR","2009-10-25","Propriété Privée"
"820","10666","OUED GHOMARA","3.811083","36.159650","Not HUB","Pylône","50","30","Shelter","2","Non Gardé","EL HACHIMIA","On AIR","2013-03-31","Propriété Privée"
"822","10667","Lakhdaria ouest","3.583010","36.566680","Not HUB","Mât","50","","Local Technique (LT)","3","Non Gardé","LAKHDARIA","On AIR","2011-05-28","Propriété Privée"
"823","10668","HAMAM SKANNA","3.927910","36.198300","Terminal","Pylône","150","40","Shelter","3","Non Gardé","EL HACHIMIA","On AIR","2020-06-24","Etatique"
"824","10669","BOURMEL(maillot)","4.225480","36.276290","HUB","Pylône","150","30","BTS OutDoor","3","Non Gardé","HANIF","On AIR","2011-02-13","Propriété Privée"
"825","10670","Zbara","3.911930","35.977100","Terminal","Mât","40","12","Shelter","3","Non Gardé","TAGUEDIT","On AIR","2011-05-24","APC"
"826","10671","DOUAR ZBERBOURA","3.641170","36.558270","Terminal","Mât","150","12","Shelter","3","Non Gardé","LAKHDARIA","On AIR","2015-06-23","Propriété Privée"
"803","10672","SIDI YAHIA AIN BESSAM","3.712890","36.390750","Not HUB","Pylône","40","40","Shelter","3","Non Gardé","AIN BESSAM","On AIR","2014-03-17","Propriété Privée"
"804","10673","MAMOURA","3.548880","36.032540","Not HUB","Pylône","150","30","Shelter","2","Non Gardé","MAAMORA","On AIR","2013-01-21","Propriété Privée"
"806","10674","RIDANE","3.457950","36.032540","Terminal","Pylône","150","40","Shelter","3","Non Gardé","RIDANE","On AIR","2013-03-26","Propriété Privée"
"807","10675","BOUIRA AUTO ROUTE","3.824910","36.371200","Terminal","Pylône","","40","Shelter","2","Non Gardé","AIN EL HADJAR","On AIR","2012-11-28","Propriété Privée"
"809","10676","MAALA","3.570840","36.493090","Terminal","Mât","150","","BTS OutDoor","3","Non Gardé","MAALA","On AIR","2015-10-26","Propriété Privée"
"811","10677","Djebel affroun","4.035370","36.039010","HUB","Pylône","","30","Shelter","3","Non Gardé","MEZDOUR","On AIR","2014-01-31","APC"
"11068","10678","Semmache","4.154380","36.350670","Terminal","Mât","50","9","Shelter","3","Non Gardé","EL ADJIBA","On AIR","2021-04-02","Propriété Privée"
"2742","10679","ADJIBA AUTOROUTE","4.158340","36.316950","Terminal","Pylône","60","40","Shelter","3","Non Gardé","EL ADJIBA","On AIR","2017-12-05","Propriété Privée"
"2743","10680","UNO BOUIRA","3.902930","36.401600","Terminal","Mât","50","10","Shelter","3","Non Gardé","BOUIRA","On AIR","2014-10-30","Propriété Privée"
"2744","10681","MERKALA","3.982140","36.436450","Terminal","Pylône","40","25","BTS OutDoor","3","Non Gardé","TAGHZOUT","On AIR","2016-05-05","Algérie Telecom"
"2745","10682","CITE SOCIAL","3.673700","36.299900","Terminal","Mât","","9","Shelter","3","Non Gardé","AIN BESSAM","On AIR","2015-08-06","Propriété Privée"
"2746","10683","CITE SALEH ARRADH","3.662000","36.296680","Terminal","Mât","40","9","Shelter","3","Non Gardé","AIN BESSAM","On AIR","2016-01-05","Propriété Privée"
"2747","10684","SAID ABID","3.834500","36.349900","Terminal","Mât","60","9","Shelter","3","Non Gardé","AIN EL HADJAR","On AIR","2016-01-13","Propriété Privée"
"2749","10685","OUED EL BERDI 2","3.891730","36.272770","Terminal","Pylône","50","40","Shelter","3","Non Gardé","OUED EL BERDI","On AIR","2015-08-11","Propriété Privée"
"2750","10686","56 LOGTS","3.896470","36.390780","Terminal","Pylône","60","9","BTS OutDoor","3","Non Gardé","BOUIRA","On AIR","2015-12-05","Propriété Privée"
"840","10687","cite OPGI","3.890030","36.381510","Terminal","Mât","60","6","Shelter","3","Non Gardé","BOUIRA","On AIR","2015-12-05","Propriété Privée"
"2751","10688","LAKHDARIA 3","3.596210","36.565550","Terminal","Mât","50","9","BTS OutDoor","3","Non Gardé","LAKHDARIA","On AIR","2017-02-13","Propriété Privée"
"2752","10689","LAKHDARIA 4","3.601940","36.557610","Terminal","Mât","60","9","BTS OutDoor","3","Non Gardé","LAKHDARIA","On AIR","2016-06-15","Propriété Privée"
"2753","10690","Slim","1.899020","33.935930","Terminal","Pylône","60","40","Shelter","2","Non Gardé","HAIZER","On AIR","2019-05-07","Propriété Privée"
