"site ID","adresse site","commune","LATITUDE","LONGITUDE","TYPE d'equipement d'acces (LTE)","support de TRANS","METRO DE RATTACHEMENT","numéro de port","Date mise en service ","statut","OBS","","","",""
"810079","OULED FELTANE","DECHMIA","36.102666","3.541707","NSN","FO","DECHMIA","2/0/10","15/02/2022","on air","SUT","","","",""
"810050","AIN AMAR","S EG"," 36.129489","  3.702172","NSN","FO","S E G","2/0/26","02/03/2022","ON AIR","PA2021","","","",""
"810040","DIRAH APC ","DIRAH"," 35.998544"," 3.753949","NSN","FO","S E G","2/0/5","29/03/2022","ON AIR","PA2021","","","",""
"810081","OULED KHODAIME SU","DECHMIA","36.202938","3.554011","NSN","FO","AIN BESSEM","2/0/0","15/06/2022","ON AIR","SUT","","","",""
"810058","MAALA  AIT LAAZIZ","AIT LAAZIZ","36.439105","  3.866811","NSN","FO","CA1 BOUIRA","2/0/33","29/06/2022","ON AIR","PA","","","",""
"810106","S'HARI","RIDANE","36.047984","3.438457","NSN","FO","DECHMIA","2/0/11","01/08/2022","ON AIR","SUT","","","",""
"810105","Z'MALA","RIDANE","36.047044","3.471974","NSN","FO","DECHMIA","2/0/12","02/08/2022","ON AIR","SUT","","","",""
"810109","HOUADCHIA","EL MOKRANI","36.436125","3.601069","NSN","FH","AIN BESSEM","2/0/4","24/08/2022","ON AIR","PA","","","",""
"810107","TOUTA","DIRAH","35.984814","3.721044","NSN","FO","S E G","2/0/35","27/08/2022","ON AIR","SUT","","","",""
"810069","AGHBALLOU p/c","aghballou","36.406097","4.320565","NSN","FO","CHORFA","2/0/9","13/09/2022","ON AIR","PA","","","",""
"810045","DRAMCHA","BOUDERBALLA","36.536964","3.477801","NSN","FO","LAKHDARIA","2/0/28","29/09/2022","ON AIR","PA","","","",""
"810056","GUERROUMA","GUERROUMA","36.433833","3.428107","NSN","FO","LAKHDARIA","2/0/29","30/09/2022","ON AIR","PA","","","",""
"810089","Ouled Ykhlef","Dechmia","36.186378","3.644350","NSN","FO","S E G","2/0/44","27/10/2022","ON AIR","SUT","","","",""
"810097","Meraighia","Maamoura","35.99132","3.576126","NSN","FO","DECHMIA","2/0/13","30/10/2022","ON AIR","SUT","","","",""
"810074","Ouled M'hia","Ain El Hadjar","36.296926","3.816274","NSN","FO","AIN BESSEM","2/0/24","01/11/2022","ON AIR","SUT","","","",""
"810088","El Guettar","Dechmia","36.124334","3.513248","NSN","FO","DECHMIA","2/0/10","02/11/2022","ON AIR","SUT","","","",""
"810073","Ouled Abdellah","Ain El Hadjar","36.345816","3.739897","NSN","FO","AIN BESSEM","2/0/23","07/11/2022","ON AIR","SUT","","","",""
"810078","TARFA","TAGUEDIT","36.005227","4.024013","NSN","FO","bordj okhris","2/0/9","17/11/2022","ON AIR","SUT","","","",""
"810060","Ouled Ben Ayed","Dirah","36.032670","3.680310","NSN","FO","DECHMIA","2/0/15","15/12/2022","ON AIR","SUT","","","",""
"810110","KAF AGHRAB","RIDANE","36.084892","3.521819","NSN","FO","DECHMIA","2/0/16","26/12/2022","ON AIR","SUT","","","",""
